Наименование,ИНН,Номер лицензии,Дата выдачи лицензии,Регион
"ООО ""АгроСахалин""",6501165950,ME003698,6/29/2006,65
"ООО ""Юлия""",6501166008,ME004784,12/22/2011,65
"ООО ""РАВИ""",6501166054,ME004367,10/12/2007,65
"ООО ""Золотая Вилка""",6501166061,ME004777,3/26/2009,65
"ООО ""Чёрная Кошка""",6501166216,ME005149,9/24/2009,65
"ООО ""Ням""",6501166223,ME005396,7/1/2010,65
"ООО ""Натали""",6501166270,ME006594,5/12/2011,65
"ООО ""АИСТ-2""",6501166287,ME004940,6/26/2009,65
"ООО ""Ключ""",6501166294,ME005102,8/12/2009,65
"ООО ""Торговая компания Кентавр""",6501166343,ME004762,3/19/2009,65
"ООО ""Северный""",6501166738,ME005477,12/16/2010,65
"ООО ""Динарионъ""",6501166752,ME003774,7/6/2006,65
"ООО ""Зевс""",6501166819,ME004844,5/13/2009,65
"ООО ""Гуттиера""",6501166833,ME004804,4/16/2009,65
"ООО ""Кристина""",6501166840,ME004273,6/22/2007,65
"ООО ""СТИМУЛ""",6501166985,ME004966,6/30/2009,65
"ООО ""Кон и К""",6501167065,ME005001,7/3/2009,65
"ООО ""Березняки""",6501167072,ME005072,7/31/2009,65
"ООО ""Ренко-Сах""",6501167227,ME005200,12/31/2009,65
"ООО ""ДЮНА""",6501167266,ME006779,12/28/2011,65
"ООО ""Остров""",6501167280,ME005430,10/21/2010,65
"ООО ""Плюс Удача""",6501167298,ME005359,5/19/2010,65
"ООО ""Корсар""",6501167403,ME005311,2/18/2010,65
"ООО ""Конус""",6501167435,ME005233,12/17/2009,65
"ООО ""Осенний Сад""",6501167523,ME004877,5/28/2009,65
"ООО ""Весна""",6501167530,ME004499,4/3/2008,65
"ООО ""Ольга""",6501167570,ME005075,7/31/2009,65
"ООО ""Сегал""",6501167650,ME005227,12/10/2009,65
"ООО ""Минутка""",6501167668,ME005200,11/26/2009,65
"ООО ""Исток""",6501167724,ME004998,7/3/2009,65
"ООО ""Вектор""",6501167749,ME004882,6/3/2009,65
"ООО ""Сахалинская торгово-розничная Компания""",6501167805,ME004878,5/28/2009,65
"ООО ""Гора Плюс""",6501167812,ME004549,6/19/2008,65
"ООО ""Олимп""",6501167820,ME004841,5/7/2009,65
"ООО ""Сахалин Бизнес Трест""",6501167964,ME005353,4/28/2010,65
"ООО ""ИВАЛИС""",6501168005,ME005009,7/3/2009,65
"ООО ""Инесса""",6501168020,ME005564,4/7/2011,65
"ООО ""Азбука вкуса""",6501168083,ME006691,11/7/2011,65
"ООО ""Рос-Контакт""",6501168125,ME004759,3/19/2009,65
"ООО ""Диана""",6501168132,ME004824,4/29/2009,65
"ООО ""ВЛАД""",6501168157,ME005546,3/3/2011,65
"ООО ""СЭМиКо""",6501168213,ME004964,6/30/2009,65
"ООО ""Магазин ""Альфа""",6501168238,ME005096,8/6/2009,65
"ООО ""Яруга""",6501168326,ME006580,4/28/2011,65
"ООО ""Наташа""",6501168333,ME004813,4/23/2009,65
"ООО ""Грейс""",6501168372,ME004889,6/5/2009,65
"ООО ""АМИД""",6501168380,ME004146,1/12/2007,65
"ООО ""Виста""",6501168439,ME006647,9/22/2011,65
"ООО ""ЗАБАВА""",6501168541,ME004937,6/26/2009,65
"ООО ""РАДУГА""",6501168559,ME005035,7/7/2009,65
"ООО ""Винная карта""",6501168580,ME005032,7/7/2009,65
"ООО ""Меркурий""",6501168622,ME004845,5/13/2009,65
"ООО ""Ариран""",6501168679,ME004949,6/26/2009,65
"ООО ""Болеро""",6501168870,ME005100,8/6/2009,65
"ООО ""Белый Аист""",6501168894,ME006610,6/16/2011,65
"ООО ""ЭМЮ ПЛЭНИГ САХАЛИН""",6501168975,ME004898,6/5/2009,65
"ООО ""Барса""",6501168982,ME004704,12/30/2008,65
"ООО ""Вечер""",6501169087,ME006700,11/14/2011,65
"ООО ""Белладжио""",6501169094,ME006701,11/14/2011,65
"ООО ""Алевтина""",6501169175,ME005230,12/17/2009,65
"ООО ""Юта""",6501169217,ME004520,4/25/2008,65
"ООО ""Вланкон""",6501169256,ME005098,8/6/2009,65
"ООО ""Элит""",6501169305,ME005199,11/26/2009,65
"ООО ""Владлена""",6501169320,ME005014,7/7/2009,65
"ООО ""Профит""",6501169390,ME005059,7/24/2009,65
"ООО ""Смена""",6501169400,ME004910,6/10/2009,65
"ООО ""ВИКТОРИЯ""",6501169418,ME005074,7/31/2009,65
"ООО ""Сахалинский Шанс""",6501169471,ME005170,10/30/2009,65
"ООО ""Гагарин""",6501169601,ME006745,12/15/2011,65
"ООО ""ВИКО""",6501169633,ME005031,7/7/2009,65
"ООО ""Трайб""",6501169658,ME005076,7/31/2009,65
"ООО ""Союз""",6501169697,ME004505,4/17/2008,65
"ООО ""ЭЛЬДОРАДО ПЛЮС""",6501169834,ME005016,7/7/2009,65
"ООО ""Лира""",6501169841,ME004902,6/10/2009,65
"ООО ""ВИЛСах""",6501169859,ME004981,7/3/2009,65
"ООО ""Городок""",6501170029,ME005365,5/20/2010,65
"ООО ""Кыстау""",6501170156,ME004261,6/9/2007,65
"ООО ""Успех""",6501170237,ME004904,6/10/2009,65
"ООО ""Восторг""",6501170244,ME005448,11/18/2010,65
"ООО ""МАМОНТОФФ и К""",6501170251,ME005236,12/17/2009,65
"ООО ""Бермудский Треугольник""",6501170332,ME005330,3/22/2010,65
"ООО ""Вишенка""",6501170357,ME005479,12/16/2010,65
"ООО ""СТАЛКЕР""",6501170438,ME004960,6/26/2009,65
"ООО ""Сатурн""",6501170533,ME004353,9/21/2007,65
"ООО ""Лавина""",6501170597,ME005101,8/12/2009,65
"ООО ""Восток""",6501170639,ME005219,12/3/2009,65
"ООО ""Вларен""",6501170798,ME005169,10/30/2009,65
"ООО ""Фристайл""",6501170822,ME005086,7/31/2009,65
"ООО ""Бутлегер""",6501170861,ME005039,7/17/2009,65
"ООО ""Мега Март""",6501170879,ME004985,7/3/2009,65
"ООО ""Ориенталь""",6501170967,ME004965,6/30/2009,65
"ООО ""Елена""",6501170974,ME005489,12/24/2010,65
"ООО ""Мега Стайл""",6501171150,ME005222,12/10/2009,65
"ООО ""Регион сервис""",6501171181,ME005218,12/3/2009,65
"ООО ""Супериор""",6501171209,ME005539,2/25/2011,65
"ООО ""АТНОС""",6501171216,ME004446,12/21/2007,65
"ООО ""Подкова""",6501171230,ME005053,7/17/2009,65
"ООО ""СЕТ""",6501171449,ME004303,8/6/2007,65
"ООО ""Шайтанова И.И.""",6501171463,ME004980,7/3/2009,65
"ООО ""Эдельвейс-Д""",6501171520,ME005226,12/10/2009,65
"ООО ""ПроДвижение""",6501171537,ME004483,3/6/2008,65
"ООО ""Роман""",6501171551,ME006600,7/7/2011,65
"ООО ""Квартет""",6501171590,ME004274,6/22/2007,65
"ООО ""ЭЛИТА""",6501171618,ME006792,1/20/2012,65
"ООО ""Мозаика""",6501171625,ME005376,6/4/2010,65
"ООО ""Робунит""",6501171921,ME004133,12/27/2006,65
"ООО ""Алладин""",6501171985,ME004234,5/14/2007,65
"ООО ""Видо""",6501172548,ME006746,12/22/2011,65
"ООО ""АГАТ-3""",6501172690,ME005087,7/31/2009,65
"ООО ""СТРЕЛА-С""",6501172731,ME005198,11/26/2009,65
"ООО ""ВЕГА""",6501173439,ME006778,12/30/2011,65
"ООО ""ВАРС""",6501173485,ME006728,12/8/2011,65
"ООО ""ШКОЛЬНОЕ ПИТАНИЕ""",6501173950,ME005191,11/19/2009,65
"ООО ""БИТ""",6501174016,ME006707,11/24/2011,65
"ООО ""Сах-Марин-Го""",6501174249,ME005383,6/17/2010,65
"ООО ""АНТЭК""",6501174489,ME005217,12/3/2009,65
"ООО ""Капитель""",6501174560,ME005147,9/24/2009,65
"ООО ""Три Кита""",6501174680,ME005569,4/14/2011,65
"ООО ""Али Баба""",6501174922,ME005558,3/31/2011,65
"ООО ""СОЮЗ""",6501175281,ME005367,5/20/2010,65
"ООО ""Бабье лето""",6501175700,ME004180,2/28/2007,65
"ООО ""Комплекс Лужники""",6501176158,ME005254,12/24/2009,65
"ООО ""Прайм""",6501176214,ME006755,12/22/2011,65
"ООО ""Взморье""",6501176528,ME005413,8/5/2010,65
"ООО ""Триумвират""",6501178109,ME004302,8/3/2007,65
"ООО ""Бенифит""",6501178388,ME004240,5/18/2007,65
"ООО ""Долина""",6501178878,ME005346,4/28/2010,65
"ООО ""Лидер""",6501180429,ME004255,6/7/2007,65
"ООО ""Мария""",6501184328,ME005106,8/20/2009,65
