,,,,,,,,
,№ ,№ ,Организация,Вид ,Место действует,,Местонахождение,ИНН
,Е 004315,РА-0456/11," ООО ""Кофе-терра"" ОГРН 1035400516689",Действует,31.07.11,30.07.12,"г.Новосибирск, пр.Дзержинского, 7",5401206872
,Е 001908,РА-484/09," ООО ""Эдельвейс"" ОГРН 1065401093196",Действует,30.06.09,29.06.12,"г.Новосибирск, пр.Дзержинского, 73",5401269216
,Е 004331,РА-0470/11," ООО ""Кубань"" ОГРН 1045400527754",Действует,02.08.11,01.08.14,"г.Новосибирск, пр.Дзержинского, 77",5401230730
,Е 002980,РА-1349/09," ООО ""ЭКСПРЕСС-3"" ОГРН 1065475025252",Действует,21.12.09,20.12.12,"г.Новосибирск, пр.Дзержинского, 77",5433165322
,Е 003810,РА-0813м/10," ООО ""Восток-К"" ОГРН 1025400517427",Действует,28.12.10,27.12.13,"г.Новосибирск, пр.Дзержинского, 81",5401147031
,Е 004511,РА-681/08," ООО ""Бредхаус"" ОГРН 1025401906430",Действует,27.11.11,26.11.14,"г.Новосибирск, пр.Дзержинского, 9.   Аэп: 0158030@mail.ru",5405240360
,Е 003831,РА-0832м/10," ООО ""Ресторация НовиковЪ"" ОГРН 1105407005450",Действует,30.12.10,29.12.11,"г.Новосибирск, пр.Димитрова, 1",5407073058
,Е 002499,РА-0031/10," ООО ""Соте"" ОГРН 1085407018861",Действует,04.02.10,03.02.12,"г.Новосибирск, пр.Димитрова, 4",5407057200
,Е 003661,РА-0664м/10," ЗАО ""Гевор"" ОГРН 1095407010346",Действует,11.11.11,10.11.12,"г.Новосибирск, пр.Димитрова, 4/1, оф.6  Аэп: peoples2@rmconsulting.ru",5407066276
,Е 004457,РА-0665м/10," ЗАО ""Вилен"" ОГРН 1095406029740",Действует,11.11.11,10.11.12,"г.Новосибирск, пр.Димитрова, 4/1, оф.6  Аэп: peoples4@rmconsulting.ru",5406545501
,Е 001558,РА-156/09," ООО ""ЛОНА-маркет"" ОГРН 1025403205541",Действует,06.03.09,05.03.12,"г.Новосибирск, пр.Димитрова, 7",5407196300
,Е 002867,РА-1242/09," ООО ""ПИТЕК"" ОГРН 1025403228135",Действует,17.11.09,16.11.12,"г.Новосибирск, пр.Димитрова, 7",5407216806
,Е 003830,РА-0831м/10," ООО ""Николь-Н"" ОГРН 1025403211184",Действует,30.12.10,29.12.11,"г.Новосибирск, пр.Димитрова, 7",5407219099
,Е 002220,РА-773/09," ООО ""МАК-С"" ОГРН 1065404085339",Действует,26.06.09,25.06.12,"г.Новосибирск, пр.К.Маркса, 2",5404276807
,Е 004157,РА-0302/11," ООО ""Вилена"" ОГРН 1095404010790",Действует,04.06.11,03.06.13,"г.Новосибирск, пр.К.Маркса, 22",5404390690
,Е 001523,РА-124/09," ООО Фирма ""КАНДЫК"" ОГРН 1025401507163",Действует,03.03.09,02.03.12,"г.Новосибирск, пр.К.Маркса, 26",5404113640
,Е 001518,РА-119/09," ООО ""КЕДР"" ОГРН 1055404165190",Действует,01.03.09,29.02.12,"г.Новосибирск, пр.К.Маркса, 30",5404259456
,Е 002663,РА-1049/09," ООО ""Ресторанные технологии"" ОГРН 1095404012000",Действует,21.09.09,20.09.12,"г.Новосибирск, пр.К.Маркса, 30",5404391782
,Е 001737,РА-324/09," ООО ""ФРЕСКО"" ОГРН 1035402464239",Действует,18.04.09,17.04.12,"г.Новосибирск, пр.К.Маркса, 33",5406122979
,Е 003725,РА-0728м/10," ООО ""Арена-С"" ОГРН 1105476064594",Действует,09.12.10,08.12.13,"г.Новосибирск, пр.К.Маркса, 37/2",5404422222
,Е 003905,РА-0060/11," ООО ""Гарант"" ОГРН 1105476103061",Действует,23.02.11,22.02.12,"г.Новосибирск, пр.К.Маркса, 47",5404428055
,Е 004407,РА-0505/11," ООО ""Форум-Трейд плюс"" ОГРН 1035401480443",Действует,11.10.11,10.10.13,"г.Новосибирск, пр.К.Маркса, 47/2   Аэп: ekaterina.zanegina@ngs.ru",5404163264
,Е 004270,РА-0413/11," ООО ""АКП"" ОГРН 1035401482687",Действует,11.07.11,10.07.12,"г.Новосибирск, пр.К.Маркса, 49",5407200637
,Е 003959,РА-0112/11," ООО ""Кашира"" ОГРН 1025401504061",Действует,18.03.11,17.03.12,"г.Новосибирск, пр.К.Маркса, 55",5404144600
,Е 001961,РА-535/09," ООО ""Классика Плюс"" ОГРН 1065404081160",Действует,08.06.09,07.06.12,"г.Новосибирск, пр.К.Маркса, 57",5404272552
,Е 001504,РА-105/09," ООО ""Чарка"" ОГРН 1065404110595",Действует,26.02.09,25.02.12,"г.Новосибирск, пр.К.Маркса, 57",5404299096
,Е 003879,РА-0035/11," ООО ""Альфа"" ОГРН 1105476080126",Действует,04.02.11,03.02.14,"г.Новосибирск, пр.К.Маркса, 57, офис 843",5404424759
,Е 003712,РА-0715м/10," ООО ""Орион"" ОГРН 1075473017289",Действует,06.12.10,05.12.11,"г.Новосибирск, пр.Лаврентьева, 6",5408256833
,Е 002327,РА-867/09," ООО ""АСТС-столовая 6"" ОГРН 1025403651107",Действует,16.07.09,15.07.12,"г.Новосибирск, пр.Ларентьева, 11",5408185205
,Е 002312,РА-852/09," ООО ""Ленкин"" ОГРН 1095410002610",Действует,13.07.09,12.07.12,"г.Новосибирск, Придорожный переулок, 5",5410025590
,Е 004047,РА-0196/11," ООО ""НГХ !"" ОГРН 1025401303840",Действует,18.04.11,17.04.12,"г.Новосибирск, Северный проезд, 10а",5403128500
,Е 001905,РА-481/09," ООО ""Неаполь"" ОГРН 1065403037028",Действует,01.06.09,31.05.12,"г.Новосибирск, Северный проезд, 10а",5403182458
,Е 004138,РА-0283/11," ООО ""Посошок"" ОГРН 1065473070431",Действует,28.05.11,27.05.14,"г.Новосибирск, Старое шоссе, 74",5409227909
,Е 001290,РА-773/08," ООО ""СибЦентр Плюс"" ОГРН 1085405006510",Действует,19.12.08,18.12.11,"г.Новосибирск, тер.Военного городка, 29",5405366620
,Е 002792,РА-1169/09," ООО ""САМАНД"" ОГРН 1065402005338",Действует,30.10.09,29.10.12,"г.Новосибирск, тер.Горбольницы, 3",5402462011
,Е 004148,РА-0293/11," ООО ""Лайн"" ОГРН 1115476025631",Действует,31.05.11,30.05.14,"г.Новосибирск, Толмачевское шоссе, 27",5404432252
,Е 001929,РА-505/09," ООО ""ПродТорг"" ОГРН 1095404007104",Действует,01.06.09,31.05.12,"г.Новосибирск, Толмачевское шоссе, 27, корпус 21",5404387017
,Е 004512,РА-675/08," ООО ""Торговый Дом ""Русьимпорт-Новосибирск"" ОГРН 1055404082810",Действует,25.11.11,24.11.14,"г.Новосибирск, Толмачевское шоссе, 27.  Аэп: info@nsk.rusimport.ru",5404249610
,Е 003762,РА-0765м/10," ООО ""РАДУГА"" ОГРН 1055407134584",Действует,22.12.10,21.12.11,"г.Новосибирск, ул. 1905 года, 28",5407009609
,Е 001401,РА-011/09," ООО ""Кошелев А.И."" ОГРН 1055407149380",Действует,18.02.09,17.02.12,"г.Новосибирск, ул. 1905 года, 30/1",5407010851
,Е 002742,РА-1122/09," ООО ""Рестком"" ОГРН 1075407032690",Действует,16.10.09,15.10.12,"г.Новосибирск, ул. 1905 года, 83/2",5407044353
,Е 001532,РА-133/09," ООО ""АВАНГАРД"" ОГРН 1055473114520",Действует,02.03.09,01.03.12,"г.Новосибирск, ул. 1-ая Механическая, 11",5409227313
,Е 003882,РА-0038/11," ООО ""Березка"" ОГРН 1045401484446",Действует,09.02.11,08.02.14,"г.Новосибирск, ул. 1-ая Чулымская, 112/1",5404223361
,Е 002641,РА-1029/09," ООО ""Семь островов"" ОГРН 1075406024220",Действует,10.09.09,09.09.12,"г.Новосибирск, ул. 25 лет Октября, 22",5410014060
,Е 003597,РА-0601м/10," ООО ""Элтон и П"" ОГРН 1035401488759",Действует,21.10.10,20.10.13,"г.Новосибирск, ул. 2-ая Портовая, 7",5404161316
,Е 001519,РА-120/09," ООО ""Шанс-1"" ОГРН 1025403638842",Действует,28.02.09,27.02.12,"г.Новосибирск, ул. 40 лет ВЛКСМ, 6",5408120053
,Е 003976,РА-0126/11," ООО ""РАМОС-1"" ОГРН 1115476009142",Действует,24.03.11,23.03.14,"г.Новосибирск, ул. 40 лет Комсомола, 53",5408285489
,Е 003399,РА-0414м/10," ООО ""Марис-Трейд"" ОГРН 1025403871965",Действует,21.07.10,20.07.13,"г.Новосибирск, ул. 4-ой Пятилетки, 28а",5409110890
,Е 002051,РА-620/09," ООО ""Лилит"" ОГРН 1045401491794",Действует,30.06.09,29.06.12,"г.Новосибирск, ул. 9-ой Гвардейской Дивизии, 26",5404226517
,Е 002967,РА-1336/09," ООО ""ЭЛЬСИНОР"" ОГРН 1025401492511",Действует,16.12.09,15.12.12,"г.Новосибирск, ул. 9-ой Гвардейской Дивизии, 9/1",5404150145
,Е 002037,РА-606/09," ООО ""ПИР"" ОГРН 1065401092338",Действует,30.06.09,29.06.12,"г.Новосибирск, ул. 9-ой Почтовый переулок, 9",5401268340
,Е 004521,РА-0553/11," ООО ""В.И.П. ФАРТ"" ОГРН 1115476116106",Действует,25.11.11,24.11.12,"г.Новосибирск, ул. Героев Революции, 11.  Аэп: Bacardi02@yandex.ru",5409236558
,Е 004149,РА-0294/11," ООО ""СибПродТорг"" ОГРН 1095401007426",Действует,31.05.11,30.05.12,"г.Новосибирск, ул.А.Лежена, 11",5401327404
,Е 003001,РА-0033/10," ООО ""ВОДОЛЕЙ"" ОГРН 1065401103250",Действует,05.02.10,04.02.13,"г.Новосибирск, ул.А.Лежена, 28",5401278010
,Е 001566,РА-159/09," ООО ""Торговая сеть - Сибирь"" ОГРН 1085401762324",Действует,06.03.09,05.03.12,"г.Новосибирск, ул.Авиастроителей, 13",5401320279
,Е 002008,РА-579/09," ООО ""Велий"" ОГРН  1065401093207",Действует,30.06.09,29.06.12,"г.Новосибирск, ул.Авиастроителей, 14",5401269223
,Е 001350,РА-831/08," ООО ""ГИКОС"" ОГРН 1025400526711",Действует,04.01.09,03.01.12,"г.Новосибирск, ул.Авиастроителей, 15",5401142971
,Е 002150,РА-712/09," ООО ""ТАНЭК""",Действует,30.06.09,29.06.12,"г.Новосибирск, ул.Авиастроителей, 1а",5401269294
,Е 003984,РА-0134/11," ООО ""СВЕТОГОР"" ОГРН 1025400527481",Действует,30.03.11,29.03.14,"г.Новосибирск, ул.Авиастроителей, 2/1",5401143358
,Е 003885,РА-0041/11," ООО ""Сибагропромснаб"" ОГРН 1035400524752",Действует,10.02.11,09.02.12,"г.Новосибирск, ул.Авиастроителей, 30",5401210406
,Е 004368,РА-471/08," ООО ""Торговый холдинг Сибирский Гигант"" ОГРН 1055405013630",Действует,13.09.11,12.09.16,"г.Новосибирск, ул.Автогенная, 126   Аэп: www.sibgigant.ru",5405289421
,Е 004162,РА-0307/11," ООО ""Железнодорожник"" ОГРН 1065473072554",Действует,05.06.11,04.06.12,"г.Новосибирск, ул.Аксенова, 14а",5409228099
,Е 004023,РА-0172/11," ООО ""ЛАЙТ"" ОГРН 1065401100380",Действует,11.04.11,10.04.12,"г.Новосибирск, ул.Аксенова, 26",5401276132
,Е 002812,РА-1189/09," ООО ""Ашхен"" ОГРН 1065405120550",Действует,03.11.09,02.11.12,"г.Новосибирск, ул.Алтайская, 12а",5405319411
,Е 002014,РА-583/09," ООО ""Миркина "" ОГРН 1065402055003",Действует,30.06.09,29.06.12,"г.Новосибирск, ул.Ангарная, 1а",5402466111
